TIMESTAMP: 45, UE_ID: 4, CELL_SOURCE_ID: 46, CELL_TARGET_ID: 16, RSRP_SOURCE: -102.54, RSRP_TARGET: -81.50, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 11.98, SINR_TARGET: 25.29, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 55, UE_ID: 9, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 55, RSRP_SOURCE: -106.94, RSRP_TARGET: -66.75, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.97, SINR_TARGET: 44.12, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 57, UE_ID: 74, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 55, RSRP_SOURCE: -108.19, RSRP_TARGET: -88.91, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.30, SINR_TARGET: 23.27, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 58, UE_ID: 45, CELL_SOURCE_ID: 36, CELL_TARGET_ID: 37, RSRP_SOURCE: -110.85, RSRP_TARGET: -91.90, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.31, SINR_TARGET: 15.13, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 60, UE_ID: 35, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 55, RSRP_SOURCE: -109.97, RSRP_TARGET: -89.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.25, SINR_TARGET: 18.10, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 61, UE_ID: 58, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 43, RSRP_SOURCE: -108.23, RSRP_TARGET: -87.56, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.11, SINR_TARGET: 25.18, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 69, UE_ID: 2, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 55, RSRP_SOURCE: -104.58, RSRP_TARGET: -91.66, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.64, SINR_TARGET: 16.47, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 71, UE_ID: 32, CELL_SOURCE_ID: 39, CELL_TARGET_ID: 13, RSRP_SOURCE: -110.46, RSRP_TARGET: -99.46, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.44, SINR_TARGET: 10.23, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 73, UE_ID: 14, CELL_SOURCE_ID: 36, CELL_TARGET_ID: 31, RSRP_SOURCE: -109.25, RSRP_TARGET: -98.69, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.49, SINR_TARGET: 8.99, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 81, UE_ID: 10, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.13, RSRP_TARGET: -88.34, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.39, SINR_TARGET: 19.84, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 83, UE_ID: 77, CELL_SOURCE_ID: 33, CELL_TARGET_ID: 28, RSRP_SOURCE: -109.93, RSRP_TARGET: -92.99, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.73, SINR_TARGET: 15.21, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
