TIMESTAMP: 9, UE_ID: 76, CELL_SOURCE_ID: 21, CELL_TARGET_ID: 1, RSRP_SOURCE: -90.25, RSRP_TARGET: -59.29, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 8.16, SINR_TARGET: 49.46, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 15, UE_ID: 56, CELL_SOURCE_ID: 49, CELL_TARGET_ID: 50, RSRP_SOURCE: -87.98, RSRP_TARGET: -76.32, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 21.30, SINR_TARGET: 32.90, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 16, UE_ID: 62, CELL_SOURCE_ID: 8, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.02, RSRP_TARGET: -97.86, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.44, SINR_TARGET: 13.19, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 18, UE_ID: 31, CELL_SOURCE_ID: 29, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.98, RSRP_TARGET: -104.31, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.49, SINR_TARGET: 6.85, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 18, UE_ID: 86, CELL_SOURCE_ID: 47, CELL_TARGET_ID: 13, RSRP_SOURCE: -112.89, RSRP_TARGET: -98.99, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.54, SINR_TARGET: 12.80, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 20, UE_ID: 45, CELL_SOURCE_ID: 37, CELL_TARGET_ID: 7, RSRP_SOURCE: -112.98, RSRP_TARGET: -101.03, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.20, SINR_TARGET: 6.77, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 23, UE_ID: 86, CELL_SOURCE_ID: 47, CELL_TARGET_ID: 3, RSRP_SOURCE: -111.87, RSRP_TARGET: -97.96, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.48, SINR_TARGET: 11.72, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 26, UE_ID: 35, CELL_SOURCE_ID: 57, CELL_TARGET_ID: 2, RSRP_SOURCE: -110.10, RSRP_TARGET: -99.56, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.61, SINR_TARGET: 10.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 26, UE_ID: 44, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 2, RSRP_SOURCE: -88.28, RSRP_TARGET: -77.36, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 25.25, SINR_TARGET: 30.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 35, UE_ID: 34, CELL_SOURCE_ID: 39, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.42, RSRP_TARGET: -96.13, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.68, SINR_TARGET: 13.81, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 35, UE_ID: 51, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.95, RSRP_TARGET: -92.25, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.20, SINR_TARGET: 18.84, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 39, UE_ID: 48, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 3, RSRP_SOURCE: -84.89, RSRP_TARGET: -69.80, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 26.39, SINR_TARGET: 42.10, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 40, UE_ID: 81, CELL_SOURCE_ID: 38, CELL_TARGET_ID: 3, RSRP_SOURCE: -113.10, RSRP_TARGET: -100.65, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.61, SINR_TARGET: 13.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 42, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 2, RSRP_SOURCE: -112.47, RSRP_TARGET: -93.49, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.90, SINR_TARGET: 12.86, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 44, UE_ID: 69, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.60, RSRP_TARGET: -98.52, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.44, SINR_TARGET: 13.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 47, UE_ID: 7, CELL_SOURCE_ID: 34, CELL_TARGET_ID: 12, RSRP_SOURCE: -112.93, RSRP_TARGET: -101.63, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -5.42, SINR_TARGET: 7.38, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 52, UE_ID: 11, CELL_SOURCE_ID: 6, CELL_TARGET_ID: 2, RSRP_SOURCE: -111.38, RSRP_TARGET: -93.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.09, SINR_TARGET: 15.21, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 53, UE_ID: 22, CELL_SOURCE_ID: 44, CELL_TARGET_ID: 3, RSRP_SOURCE: -114.49, RSRP_TARGET: -103.71, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.73, SINR_TARGET: 5.03, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 57, UE_ID: 4, CELL_SOURCE_ID: 16, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.28, RSRP_TARGET: -100.92, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.40, SINR_TARGET: 6.02, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 57, UE_ID: 24, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.21, RSRP_TARGET: -104.00, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.70, SINR_TARGET: 7.02, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 76, UE_ID: 72, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 3, RSRP_SOURCE: -114.29, RSRP_TARGET: -104.25, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.25, SINR_TARGET: 4.70, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
